Description,2017,2018,2019,2020,2021
Management occupations  [0],"1,615.25","1,634.80","1,730.80","1,800.00","1,875.00"
Senior management occupations  [00],"1,887.00","2,115.20","2,115.38","2,307.60","2,223.70"
Specialized middle management occupations  [01-05],"1,730.80","1,750.02","1,846.13","1,923.20","1,980.80"
Middle management occupations in retail and wholesale trade and customer services  [06],"1,249.88","1,269.38","1,200.00","1,320.00","1,350.00"
"Middle management occupations in trades, transportation, production and utilities  [07-09]","1,591.20","1,589.60","1,730.70","1,680.00","1,750.00"
"Business, finance and administration occupations  [1]",865.5,881.6,923.2,961.6,"1,000.00"
Professional occupations in business and finance  [11],"1,230.40","1,250.00","1,298.25","1,346.00","1,384.50"
Administrative and financial supervisors and administrative occupations  [12],877.5,900,940.17,961.6,"1,000.00"
"Finance, insurance and related business administrative occupations  [13]",854.4,865.2,900,961.6,988.56
Office support occupations  [14],700,735,747.25,769.2,792
"Distribution, tracking and scheduling co-ordination occupations  [15]",769.2,769.2,800,840,870
Natural and applied sciences and related occupations  [2],"1,307.63","1,345.95","1,384.50","1,440.00","1,471.20"
Professional occupations in natural and applied sciences  [21],"1,442.40","1,480.80","1,538.40","1,596.00","1,616.65"
Technical occupations related to natural and applied sciences  [22],"1,134.00","1,140.00","1,162.35","1,200.00","1,192.50"
Health occupations  [3],920,920.79,938.6,"1,000.00","1,000.00"
Professional occupations in nursing  [30],"1,260.00","1,260.00","1,331.25","1,400.00","1,402.50"
Professional occupations in health (except nursing)  [31],"1,344.00","1,311.75","1,430.00","1,472.00","1,442.25"
Technical occupations in health  [32],884.45,901.6,930,980.8,980
Assisting occupations in support of health services  [34],680,711.62,700,721.5,750
"Occupations in education, law and social, community and government services  [4]","1,000.00","1,050.00","1,057.60","1,154.00","1,154.00"
Professional occupations in education services  [40],"1,249.88","1,303.60","1,326.90","1,423.20","1,400.00"
"Professional occupations in law and social, community and government services  [41]","1,250.01","1,274.49","1,288.56","1,360.00","1,395.75"
"Paraprofessional occupations in legal, social, community and education services  [42]",673.2,690,735,760,777.63
Occupations in front-line public protection services  [43],"1,695.33","1,730.82","1,800.00","1,884.54","1,884.80"
"Care providers and educational, legal and public protection support occupations  [44]",605.5,650,655.2,705,731.25
"Occupations in art, culture, recreation and sport  [5]",675,676,740,857.2,923.2
Professional occupations in art and culture  [51],999.95,860.63,937.5,"1,085.00","1,153.88"
"Technical occupations in art, culture, recreation and sport  [52]",595,600,673.2,769.13,836
Sales and service occupations  [6],480,520,544,568.75,580
Retail sales supervisors and specialized sales occupations  [62],788.4,800,859.6,923.2,932.8
Service supervisors and specialized service occupations  [63],528,568.75,600,612,639.92
Sales representatives and salespersons - wholesale and retail trade  [64],480,510,560,576.96,585
Service representatives and other customer and personal services occupations  [65],499.2,542.5,560,600,612.5
Sales support occupations  [66],290,330,332.4,357.5,340
"Service support and other service occupations, n.e.c.  [67]",420,450,459,480,484.8
"Trades, transport and equipment operators and related occupations  [7]","1,000.00","1,000.30","1,040.00","1,080.00","1,100.00"
"Industrial, electrical and construction trades  [72]","1,122.40","1,160.00","1,200.00","1,225.00","1,250.00"
Maintenance and equipment operation trades  [73],"1,120.00","1,155.00","1,200.00","1,240.00","1,280.00"
"Other installers, repairers and servicers and material handlers  [74]",720,720,720,770,792
Transport and heavy equipment operation and related maintenance occupations  [75],926.8,950.4,954,"1,000.00","1,000.00"
"Trades helpers, construction labourers and related occupations  [76]",800,840,880,880,900.4
"Natural resources, agriculture and related production occupations  [8]",824.4,900,880,900,940
"Supervisors and technical occupations in natural resources, agriculture and related production  [82]","1,360.00","1,407.42","1,428.00","1,430.00","1,536.92"
"Workers in natural resources, agriculture and related production  [84]",680,740,700,718,760
"Harvesting, landscaping and natural resources labourers  [86]",640,680,700,720,720
Occupations in manufacturing and utilities  [9],795.2,800,836,876.54,880
"Processing, manufacturing and utilities supervisors and central control operators  [92]","1,154.00","1,200.00","1,297.13","1,288.40","1,312.00"
Processing and manufacturing machine operators and related production workers  [94],756,770,800,840,830.4
Assemblers in manufacturing  [95],750,778,800,840,840
"Labourers in processing, manufacturing and utilities  [96]",620,640,680,698,720
