Description,Code,Median,Mean
All employees,,25886,31646
"Managers, directors and senior officials",1,41663,56030
  Corporate managers and directors,11,44625,59361
    Chief executives and senior officials,111,73179,104561
      Chief executives and senior officials,1115,79633,111760
      Elected officers and representatives,1116,x,x
    Production managers and directors,112,44399,53954
      Production managers and directors in manufacturing,1121,43326,53823
      Production managers and directors in construction,1122,46661,53703
      Production managers and directors in mining and energy,1123,45530,x
    Functional managers and directors,113,56757,73002
      Financial managers and directors,1131,59684,76840
      Marketing and sales directors,1132,73414,85105
      Purchasing managers and directors,1133,47000,53397
      Advertising and public relations directors,1134,59687,x
      Human resource managers and directors,1135,45755,52826
      Information technology and telecommunications directors,1136,69689,79009
      Functional managers and directors n.e.c.,1139,47657,60642
    Financial institution managers and directors,115,51606,78181
      Financial institution managers and directors,1150,51606,78181
    Managers and directors in transport and logistics,116,33496,37275
      Managers and directors in transport and distribution,1161,38929,44286
      Managers and directors in storage and warehousing,1162,30091,32523
    Senior officers in protective services,117,53690,54775
      Officers in armed forces,1171,,
      Senior police officers,1172,55518,58923
"      Senior officers in fire, ambulance, prison and related services",1173,44066,46748
    Health and social services managers and directors,118,44466,46201
      Health services and public health managers and directors,1181,47067,48695
      Social services managers and directors,1184,35706,39156
    Managers and directors in retail and wholesale,119,28260,33808
      Managers and directors in retail and wholesale,1190,28260,33808
  Other managers and proprietors,12,30843,38079
    Managers and proprietors in agriculture related services,121,30499,32680
      Managers and proprietors in agriculture and horticulture,1211,32053,33461
"      Managers and proprietors in forestry, fishing and related services",1213,x,30247
    Managers and proprietors in hospitality and leisure services,122,28404,32796
      Hotel and accommodation managers and proprietors,1221,30748,33185
      Restaurant and catering establishment managers and proprietors,1223,23886,26121
      Publicans and managers of licensed premises,1224,37626,38310
      Leisure and sports managers,1225,31351,38166
      Travel agency managers and proprietors,1226,x,x
    Managers and proprietors in health and care services,124,32514,33755
      Health care practice managers,1241,31174,33468
"      Residential, day and domiciliary  care managers and proprietors",1242,33477,33865
    Managers and proprietors in other services,125,32069,42478
"      Property, housing and estate managers",1251,35344,47869
      Garage managers and proprietors,1252,x,x
      Hairdressing and beauty salon managers and proprietors,1253,22708,21967
      Shopkeepers and proprietors – wholesale and retail,1254,x,x
      Waste disposal and environmental services managers,1255,43147,50633
      Managers and proprietors in other services n.e.c.,1259,28476,35719
Professional occupations,2,36897,40469
"  Science, research, engineering and technology professionals",21,42109,45505
    Natural and social science professionals,211,36062,38700
      Chemical scientists,2111,32499,37472
      Biological scientists and biochemists,2112,35522,38976
      Physical scientists,2113,40255,41980
      Social and humanities scientists,2114,29943,32848
      Natural and social science professionals n.e.c.,2119,36691,39310
    Engineering professionals,212,42581,44080
      Civil engineers,2121,41506,42961
      Mechanical engineers,2122,41867,45447
      Electrical engineers,2123,51725,52920
      Electronics engineers,2124,43398,41692
      Design and development engineers,2126,41384,43423
      Production and process engineers,2127,39722,41964
      Engineering professionals n.e.c.,2129,42818,43889
    Information technology and telecommunications professionals,213,43678,47633
      IT specialist managers,2133,49929,54803
      IT project and programme managers,2134,47785,48647
"      IT business analysts, architects and systems designers",2135,49313,54308
      Programmers and software development professionals,2136,42583,46341
      Web design and development professionals,2137,30749,30307
      Information technology and telecommunications professionals n.e.c.,2139,36454,40696
    Conservation and environment professionals,214,33912,35928
      Conservation professionals,2141,30714,32279
      Environment professionals,2142,35728,37006
    Research and development managers ,215,47342,51390
      Research and development managers,2150,47342,51390
  Health professionals,22,31123,35326
    Health professionals,221,43066,52522
      Medical practitioners,2211,54839,66483
      Psychologists,2212,34365,39414
      Pharmacists,2213,37670,37328
      Ophthalmic opticians,2214,x,32593
      Dental practitioners,2215,x,47503
      Veterinarians,2216,34559,34471
      Medical radiographers,2217,35349,34905
      Podiatrists,2218,x,27314
      Health professionals n.e.c.,2219,32507,34096
    Therapy professionals,222,29000,29184
      Physiotherapists,2221,30384,30084
      Occupational therapists,2222,29136,29284
      Speech and language therapists,2223,26110,26834
      Therapy professionals n.e.c.,2229,26108,28245
    Nursing and midwifery professionals,223,28864,28355
      Nurses,2231,28783,28232
      Midwives,2232,30409,30683
  Teaching and educational professionals,23,35570,36170
    Teaching and educational professionals,231,35570,36170
      Higher education teaching professionals,2311,47034,48910
      Further education teaching professionals,2312,31476,30562
      Secondary education teaching professionals,2314,37966,37171
      Primary and nursery education teaching professionals,2315,33288,32408
      Special needs education teaching professionals,2316,28830,28644
      Senior professionals of educational establishments,2317,56277,56207
      Education advisers and school inspectors,2318,37325,36594
      Teaching and other educational professionals n.e.c.,2319,19971,20504
"  Business, media and public service professionals",24,39081,45446
    Legal professionals,241,47339,61775
      Barristers and judges,2412,x,39706
      Solicitors,2413,40892,48722
      Legal professionals n.e.c.,2419,71841,87266
"    Business, research and administrative professionals",242,42122,48217
      Chartered and certified accountants,2421,38172,41902
      Management consultants and business analysts,2423,41348,45874
      Business and financial project management professionals,2424,49592,55784
"      Actuaries, economists and statisticians",2425,45241,67137
      Business and related research professionals,2426,33976,34245
"      Business, research and administrative professionals n.e.c.",2429,44582,42787
"    Architects, town planners and surveyors",243,39911,43301
      Architects,2431,41631,46038
      Town planning officers,2432,30937,32878
      Quantity surveyors,2433,43940,48041
      Chartered surveyors,2434,36801,39847
      Chartered architectural technologists,2435,x,46096
      Construction project managers and related professionals,2436,x,43289
    Welfare professionals,244,30584,30524
      Social workers,2442,33218,32614
      Probation officers,2443,30706,32327
      Clergy,2444,26390,25763
      Welfare professionals n.e.c.,2449,29504,28761
    Librarians and related professionals,245,23379,23686
      Librarians,2451,21761,24828
      Archivists and curators,2452,24972,22311
    Quality and regulatory professionals,246,40049,45623
      Quality control and planning engineers,2461,38519,39542
      Quality assurance and regulatory professionals,2462,43280,49598
      Environmental health professionals,2463,35811,34974
    Media professionals,247,35635,40401
"      Journalists, newspaper and periodical editors",2471,36203,41800
      Public relations professionals,2472,31729,35958
      Advertising accounts managers and creative directors,2473,40021,43237
Associate professional and technical occupations,3,31125,36049
"  Science, engineering and technology associate professionals",31,29344,31361
"    Science, engineering and production technicians",311,28428,30364
      Laboratory technicians,3111,20287,22696
      Electrical and electronics technicians,3112,34508,35394
      Engineering technicians,3113,35294,37373
      Building and civil engineering technicians,3114,x,25276
      Quality assurance technicians,3115,27158,29687
"      Planning, process and production technicians",3116,30137,32662
"      Science, engineering and production technicians n.e.c.",3119,27670,28775
    Draughtspersons and related architectural technicians,312,30002,31802
      Architectural and town planning technicians,3121,x,31514
      Draughtspersons,3122,29719,31947
    Information technology technicians,313,30654,32794
      IT operations technicians,3131,31310,33371
      IT user support technicians,3132,30212,32275
  Health and social care associate professionals,32,22895,23130
    Health associate professionals,321,24960,27507
      Paramedics,3213,42541,41043
      Dispensing opticians,3216,20157,22000
      Pharmaceutical technicians,3217,20223,20549
      Medical and dental technicians,3218,24177,26197
      Health associate professionals n.e.c.,3219,19137,18491
    Welfare and housing associate professionals,323,22488,21768
      Youth and community workers,3231,22008,20924
      Child and early years officers,3233,22479,21442
      Housing officers,3234,26510,26191
      Counsellors,3235,x,x
      Welfare and housing associate professionals n.e.c.,3239,21099,20980
  Protective service occupations,33,39259,37780
    Protective service occupations,331,39259,37780
      NCOs and other ranks,3311,,
      Police officers (sergeant and below),3312,41500,40249
      Fire service officers (watch manager and below),3313,33905,32884
      Prison service officers (below principal officer),3314,28966,29877
      Police community support officers,3315,25710,25110
      Protective service associate professionals n.e.c.,3319,34073,41139
"  Culture, media and sports occupations",34,23011,x
"    Artistic, literary and media occupations",341,26855,30880
      Artists,3411,x,26131
"      Authors, writers and translators",3412,26051,29297
"      Actors, entertainers and presenters",3413,x,x
      Dancers and choreographers,3414,x,x
      Musicians,3415,x,x
"      Arts officers, producers and directors",3416,32562,x
"      Photographers, audio-visual and broadcasting equipment operators",3417,25152,28296
    Design occupations,342,28662,29951
      Graphic designers,3421,27416,28253
"      Product, clothing and related designers",3422,29151,31894
    Sports and fitness occupations,344,9841,x
      Sports players,3441,x,x
"      Sports coaches, instructors and officials",3442,x,11751
      Fitness instructors,3443,x,10520
  Business and public service associate professionals,35,33677,40496
    Transport associate professionals,351,67753,71769
      Air traffic controllers,3511,,
      Aircraft pilots and flight engineers,3512,x,85648
      Ship and hovercraft officers,3513,52092,51975
    Legal associate professionals,352,26480,31824
      Legal associate professionals,3520,26480,31824
"    Business, finance and related associate professionals",353,32347,39155
"      Estimators, valuers and assessors",3531,31650,36712
      Brokers,3532,x,x
      Insurance underwriters,3533,32195,37511
      Finance and investment analysts and advisers,3534,36064,44178
      Taxation experts,3535,41973,46892
      Importers and exporters,3536,26057,27598
      Financial and accounting technicians,3537,43126,42978
