OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
00-0000,All Occupations,total,"142,549,250",0.1,24.34,"50,620",0.1,9.60,11.91,18.12,29.38,46.23,"19,970","24,770","37,690","61,110","96,150",,
11-0000,Management Occupations,major,"7,280,330",0.2,57.65,"119,910",0.1,23.19,33.60,49.32,71.83,#,"48,220","69,880","102,590","149,410",#,,
11-1000,Top Executives,minor,"2,473,740",0.3,61.55,"128,020",0.2,20.74,31.74,49.58,78.72,#,"43,140","66,030","103,120","163,740",#,,
11-1010,Chief Executives,broad,"210,160",0.7,94.25,"196,050",0.4,32.74,54.55,88.11,#,#,"68,110","113,470","183,270",#,#,,
11-1011,Chief Executives,detailed,"210,160",0.7,94.25,"196,050",0.4,32.74,54.55,88.11,#,#,"68,110","113,470","183,270",#,#,,
11-1020,General and Operations Managers,broad,"2,212,200",0.3,59.35,"123,460",0.2,21.40,31.53,48.27,75.28,#,"44,510","65,590","100,410","156,580",#,,
11-1021,General and Operations Managers,detailed,"2,212,200",0.3,59.35,"123,460",0.2,21.40,31.53,48.27,75.28,#,"44,510","65,590","100,410","156,580",#,,
11-1030,Legislators,broad,"51,380",1.3,*,"46,350",1.0,*,*,*,*,*,"17,480","18,860","25,630","70,130","97,510",TRUE,
11-1031,Legislators,detailed,"51,380",1.3,*,"46,350",1.0,*,*,*,*,*,"17,480","18,860","25,630","70,130","97,510",TRUE,
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"685,780",0.5,66.66,"138,650",0.3,29.10,41.13,59.19,82.51,#,"60,530","85,560","123,100","171,630",#,,
11-2010,Advertising and Promotions Managers,broad,"28,100",2.6,59.56,"123,880",1.5,23.15,34.47,51.03,74.89,#,"48,150","71,690","106,130","155,760",#,,
11-2011,Advertising and Promotions Managers,detailed,"28,100",2.6,59.56,"123,880",1.5,23.15,34.47,51.03,74.89,#,"48,150","71,690","106,130","155,760",#,,
11-2020,Marketing and Sales Managers,broad,"590,380",0.5,67.60,"140,600",0.3,29.45,41.73,60.24,83.93,#,"61,250","86,810","125,290","174,570",#,,
11-2021,Marketing Managers,detailed,"218,970",0.8,70.01,"145,620",0.4,32.93,45.25,63.57,86.57,#,"68,490","94,110","132,230","180,070",#,,
11-2022,Sales Managers,detailed,"371,410",0.6,66.18,"137,650",0.3,27.69,39.66,58.20,82.11,#,"57,590","82,490","121,060","170,790",#,,
11-2030,Public Relations and Fundraising Managers,broad,"67,300",1.1,61.39,"127,690",0.6,29.39,39.19,53.50,74.92,#,"61,130","81,510","111,280","155,830",#,,
11-2031,Public Relations and Fundraising Managers,detailed,"67,300",1.1,61.39,"127,690",0.6,29.39,39.19,53.50,74.92,#,"61,130","81,510","111,280","155,830",#,,
11-3000,Operations Specialties Managers,minor,"1,752,130",0.3,62.24,"129,450",0.2,30.60,40.62,55.62,75.56,#,"63,660","84,490","115,700","157,160",#,,
11-3010,Administrative Services Managers,broad,"270,100",0.6,49.70,"103,380",0.3,25.36,33.46,45.20,60.25,78.60,"52,750","69,590","94,020","125,310","163,480",,
11-3011,Administrative Services Managers,detailed,"270,100",0.6,49.70,"103,380",0.3,25.36,33.46,45.20,60.25,78.60,"52,750","69,590","94,020","125,310","163,480",,
11-3020,Computer and Information Systems Managers,broad,"365,690",0.8,71.99,"149,730",0.4,40.32,51.80,66.93,84.56,#,"83,860","107,740","139,220","175,890",#,,
11-3021,Computer and Information Systems Managers,detailed,"365,690",0.8,71.99,"149,730",0.4,40.32,51.80,66.93,84.56,#,"83,860","107,740","139,220","175,890",#,,
11-3030,Financial Managers,broad,"569,380",0.6,69.01,"143,530",0.3,31.96,43.11,60.14,83.62,#,"66,480","89,670","125,080","173,920",#,,
11-3031,Financial Managers,detailed,"569,380",0.6,69.01,"143,530",0.3,31.96,43.11,60.14,83.62,#,"66,480","89,670","125,080","173,920",#,,
11-3050,Industrial Production Managers,broad,"171,520",0.6,53.16,"110,580",0.3,29.50,37.48,48.36,62.89,81.15,"61,360","77,970","100,580","130,820","168,780",,
11-3051,Industrial Production Managers,detailed,"171,520",0.6,53.16,"110,580",0.3,29.50,37.48,48.36,62.89,81.15,"61,360","77,970","100,580","130,820","168,780",,
11-3060,Purchasing Managers,broad,"70,430",0.8,58.56,"121,810",0.4,32.04,41.67,55.65,70.57,87.87,"66,630","86,670","115,760","146,780","182,780",,
11-3061,Purchasing Managers,detailed,"70,430",0.8,58.56,"121,810",0.4,32.04,41.67,55.65,70.57,87.87,"66,630","86,670","115,760","146,780","182,780",,
11-3070,"Transportation, Storage, and Distribution Managers",broad,"118,680",1.1,48.43,"100,740",0.4,26.10,33.84,44.45,58.21,75.34,"54,300","70,380","92,460","121,080","156,710",,
11-3071,"Transportation, Storage, and Distribution Managers",detailed,"118,680",1.1,48.43,"100,740",0.4,26.10,33.84,44.45,58.21,75.34,"54,300","70,380","92,460","121,080","156,710",,
11-3110,Compensation and Benefits Managers,broad,"15,520",1.6,62.50,"130,010",0.7,32.94,43.15,57.27,76.03,97.40,"68,510","89,750","119,120","158,130","202,590",,
11-3111,Compensation and Benefits Managers,detailed,"15,520",1.6,62.50,"130,010",0.7,32.94,43.15,57.27,76.03,97.40,"68,510","89,750","119,120","158,130","202,590",,
