area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
99,U.S.,1,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"146,875,480",0.1,,,,25.72,"53,490",0.1,10.35,13.02,19.14,30.88,48.57,"21,530","27,080","39,810","64,240","101,020",,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"8,054,120",0.2,,,,58.88,"122,480",0.1,24.03,34.35,50.80,74.16,#,"49,990","71,460","105,660","154,260",#,,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"2,658,440",0.3,,,,61.09,"127,070",0.2,21.01,31.69,49.63,78.83,#,"43,710","65,910","103,230","163,970",#,,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"205,890",0.8,,,,93.20,"193,850",0.4,29.95,54.23,88.68,#,#,"62,290","112,790","184,460",#,#,,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"205,890",0.8,,,,93.20,"193,850",0.4,29.95,54.23,88.68,#,#,"62,290","112,790","184,460",#,#,,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"2,400,280",0.3,,,,59.15,"123,030",0.2,21.66,31.57,48.45,75.69,#,"45,050","65,660","100,780","157,430",#,,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"2,400,280",0.3,,,,59.15,"123,030",0.2,21.66,31.57,48.45,75.69,#,"45,050","65,660","100,780","157,430",#,,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"52,280",2.2,,,,*,"49,440",1.3,*,*,*,*,*,"17,690","19,070","29,270","75,520","100,470",TRUE,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"52,280",2.2,,,,*,"49,440",1.3,*,*,*,*,*,"17,690","19,070","29,270","75,520","100,470",TRUE,
99,U.S.,1,000000,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"770,540",0.5,,,,68.91,"143,330",0.2,30.74,42.97,61.96,86.06,#,"63,940","89,380","128,870","179,010",#,,
