AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"140,886,310",0.0,,,,,28.01,"58,260",0.1,11.53,14.40,22.00,32.98,49.43,"23,980","29,950","45,760","68,590","102,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"8,909,910",0.2,,,,,59.31,"123,370",0.3,23.01,35.92,49.25,77.39,#,"47,860","74,710","102,450","160,960",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"3,229,990",0.4,,,,,57.94,"120,520",0.4,19.84,29.28,47.46,77.18,#,"41,260","60,900","98,720","160,540",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"200,480",1.6,,,,,102.41,"213,020",0.8,28.99,53.40,86.31,#,#,"60,300","111,080","179,520",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"200,480",1.6,,,,,102.41,"213,020",0.8,28.99,53.40,86.31,#,#,"60,300","111,080","179,520",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"2,984,920",0.5,,,,,55.41,"115,250",0.4,20.80,29.18,47.10,72.96,#,"43,260","60,690","97,970","151,750",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"2,984,920",0.5,,,,,55.41,"115,250",0.4,20.80,29.18,47.10,72.96,#,"43,260","60,690","97,970","151,750",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"44,590",2.7,,,,,*,"57,110",1.8,*,*,*,*,*,"17,850","22,880","37,270","78,510","100,580",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"44,590",2.7,,,,,*,"57,110",1.8,*,*,*,*,*,"17,850","22,880","37,270","78,510","100,580",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"838,050",0.8,,,,,69.77,"145,130",0.4,30.42,45.74,61.62,85.27,#,"63,270","95,140","128,160","177,360",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,"22,520",3.4,,,,,68.68,"142,860",1.9,29.45,45.20,61.13,82.79,#,"61,250","94,020","127,150","172,210",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,"22,520",3.4,,,,,68.68,"142,860",1.9,29.45,45.20,61.13,82.79,#,"61,250","94,020","127,150","172,210",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,"732,490",0.9,,,,,70.48,"146,600",0.4,30.46,45.93,62.18,89.95,#,"63,350","95,530","129,330","187,100",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,"278,690",1.0,,,,,73.77,"153,440",0.5,37.35,48.08,64.92,92.56,#,"77,680","100,010","135,030","192,520",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,"453,800",1.2,,,,,68.46,"142,390",0.4,29.37,40.60,61.30,83.18,#,"61,090","84,450","127,490","173,010",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,broad,"83,040",1.7,,,,,63.85,"132,800",0.7,30.26,39.37,57.62,78.37,#,"62,940","81,880","119,860","163,000",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,"59,850",2.2,,,,,66.35,"138,000",0.9,31.73,45.51,60.47,79.24,#,"66,000","94,660","125,780","164,830",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,"23,190",1.8,,,,,57.40,"119,400",0.8,29.04,37.10,48.47,72.56,98.29,"60,400","77,170","100,810","150,920","204,430",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,"2,116,020",0.5,,,,,67.26,"139,900",0.2,35.21,45.99,61.13,79.74,#,"73,230","95,660","127,140","165,860",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,broad,"325,850",0.7,,,,,52.69,"109,590",0.3,28.46,36.85,47.73,62.28,80.51,"59,210","76,650","99,290","129,530","167,450",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,"224,620",0.7,,,,,54.34,"113,030",0.4,28.59,37.05,48.16,63.05,81.21,"59,470","77,070","100,170","131,130","168,910",,
