Description,Code,Median,Mean
All employees,,23484,29002
"Managers, directors and senior officials",1,40000,54727
  Corporate managers and directors,11,43377,58959
    Chief executives and senior officials,111,81302,112577
      Chief executives and senior officials,1115,86264,122047
      Elected officers and representatives,1116,x,17260
    Production managers and directors,112,44579,54734
      Production managers and directors in manufacturing,1121,45184,55643
      Production managers and directors in construction,1122,42137,50031
      Production managers and directors in mining and energy,1123,45190,57163
    Functional managers and directors,113,56760,73129
      Financial managers and directors,1131,60000,79704
      Marketing and sales directors,1132,74258,89317
      Purchasing managers and directors,1133,47119,53217
      Advertising and public relations directors,1134,52747,58689
      Human resource managers and directors,1135,45468,52114
      Information technology and telecommunications directors,1136,64883,74489
      Functional managers and directors n.e.c.,1139,48395,60762
    Financial institution managers and directors,115,50779,76413
      Financial institution managers and directors,1150,50779,76413
    Managers and directors in transport and logistics,116,31428,35913
      Managers and directors in transport and distribution,1161,37265,43095
      Managers and directors in storage and warehousing,1162,28769,32043
    Senior officers in protective services,117,56651,56711
      Officers in armed forces,1171,,
      Senior police officers,1172,61152,60599
"      Senior officers in fire, ambulance, prison and related services",1173,x,50360
    Health and social services managers and directors,118,40988,44871
      Health services and public health managers and directors,1181,42290,46921
      Social services managers and directors,1184,35493,40185
    Managers and directors in retail and wholesale,119,26034,31322
      Managers and directors in retail and wholesale,1190,26034,31322
  Other managers and proprietors,12,28582,32848
    Managers and proprietors in agriculture related services,121,26897,29421
      Managers and proprietors in agriculture and horticulture,1211,28061,30272
"      Managers and proprietors in forestry, fishing and related services",1213,x,26258
    Managers and proprietors in hospitality and leisure services,122,24030,27850
      Hotel and accommodation managers and proprietors,1221,26143,29022
      Restaurant and catering establishment managers and proprietors,1223,21932,23766
      Publicans and managers of licensed premises,1224,x,28028
      Leisure and sports managers,1225,26500,32173
      Travel agency managers and proprietors,1226,x,30804
    Managers and proprietors in health and care services,124,30130,31346
      Health care practice managers,1241,31044,30882
"      Residential, day and domiciliary  care managers and proprietors",1242,30017,31498
    Managers and proprietors in other services,125,30424,36260
"      Property, housing and estate managers",1251,33005,37334
      Garage managers and proprietors,1252,33153,37550
      Hairdressing and beauty salon managers and proprietors,1253,x,22627
      Shopkeepers and proprietors – wholesale and retail,1254,x,x
      Waste disposal and environmental services managers,1255,35865,42863
      Managers and proprietors in other services n.e.c.,1259,27536,34092
Professional occupations,2,34981,38364
"  Science, research, engineering and technology professionals",21,40606,44170
    Natural and social science professionals,211,35866,39381
      Chemical scientists,2111,34841,38382
      Biological scientists and biochemists,2112,34255,38465
      Physical scientists,2113,39005,45203
      Social and humanities scientists,2114,x,x
      Natural and social science professionals n.e.c.,2119,36475,39672
    Engineering professionals,212,41092,42802
      Civil engineers,2121,39980,42712
      Mechanical engineers,2122,41947,45323
      Electrical engineers,2123,46432,47826
      Electronics engineers,2124,43306,44833
      Design and development engineers,2126,39828,41193
      Production and process engineers,2127,40041,40933
      Engineering professionals n.e.c.,2129,41379,42981
    Information technology and telecommunications professionals,213,41837,46230
      IT specialist managers,2133,46241,51686
      IT project and programme managers,2134,49324,52679
"      IT business analysts, architects and systems designers",2135,45011,49421
      Programmers and software development professionals,2136,40320,43834
      Web design and development professionals,2137,30066,31740
      Information technology and telecommunications professionals n.e.c.,2139,37874,43358
    Conservation and environment professionals,214,32043,34051
      Conservation professionals,2141,31067,31820
      Environment professionals,2142,32420,34713
    Research and development managers ,215,45101,50440
      Research and development managers,2150,45101,50440
  Health professionals,22,29502,34264
    Health professionals,221,41985,54148
      Medical practitioners,2211,61289,71204
      Psychologists,2212,33133,36572
      Pharmacists,2213,38388,39462
      Ophthalmic opticians,2214,35000,31730
      Dental practitioners,2215,x,46734
      Veterinarians,2216,32499,35298
      Medical radiographers,2217,32248,32234
      Podiatrists,2218,26651,27010
      Health professionals n.e.c.,2219,27760,29912
    Therapy professionals,222,27391,27481
      Physiotherapists,2221,28034,27548
      Occupational therapists,2222,26185,27706
      Speech and language therapists,2223,24944,24489
      Therapy professionals n.e.c.,2229,27903,29022
    Nursing and midwifery professionals,223,27484,26891
      Nurses,2231,27424,26793
      Midwives,2232,28719,28540
  Teaching and educational professionals,23,33847,33825
    Teaching and educational professionals,231,33847,33825
      Higher education teaching professionals,2311,46305,45275
      Further education teaching professionals,2312,30683,29466
      Secondary education teaching professionals,2314,35763,34372
      Primary and nursery education teaching professionals,2315,30794,29672
      Special needs education teaching professionals,2316,27362,29338
      Senior professionals of educational establishments,2317,52729,52342
      Education advisers and school inspectors,2318,32858,32986
      Teaching and other educational professionals n.e.c.,2319,16715,18114
"  Business, media and public service professionals",24,36240,42353
    Legal professionals,241,44984,57033
      Barristers and judges,2412,28567,x
      Solicitors,2413,41028,48009
      Legal professionals n.e.c.,2419,70540,82122
"    Business, research and administrative professionals",242,38796,45006
      Chartered and certified accountants,2421,34782,38369
      Management consultants and business analysts,2423,40067,46240
      Business and financial project management professionals,2424,45355,50138
"      Actuaries, economists and statisticians",2425,48099,x
      Business and related research professionals,2426,32293,33114
"      Business, research and administrative professionals n.e.c.",2429,36727,39469
"    Architects, town planners and surveyors",243,36615,40837
      Architects,2431,37213,43853
      Town planning officers,2432,35478,38390
      Quantity surveyors,2433,41476,42735
      Chartered surveyors,2434,35067,38380
      Chartered architectural technologists,2435,x,35190
      Construction project managers and related professionals,2436,36175,41183
    Welfare professionals,244,27922,28193
      Social workers,2442,31551,30500
      Probation officers,2443,25956,25802
      Clergy,2444,24300,22584
      Welfare professionals n.e.c.,2449,27877,27741
    Librarians and related professionals,245,22539,24039
      Librarians,2451,23107,24796
      Archivists and curators,2452,21083,22893
    Quality and regulatory professionals,246,38375,42850
      Quality control and planning engineers,2461,36780,37796
